Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 56.50     23.03    23.03 3429262468     0.00     0.00  MES::Matrix::operator[](unsigned long, unsigned long)
 29.59     35.10    12.06       20     0.60     1.72  MES::gauss(MES::Matrix const&, MES::Matrix const&)
  5.10     37.18     2.08 207718147     0.00     0.00  MES::Matrix::operator[](unsigned long, unsigned long) const
  4.73     39.11     1.93                             _init
  1.23     39.61     0.50  6167067     0.00     0.00  void std::__fill_a1<double*, double>(double*, double*, double const&)
  0.49     39.81     0.20       40     0.01     0.02  MES::operator/(MES::Matrix const&, double)
  0.44     39.99     0.18  2025620     0.00     0.00  MES::operator*(MES::Matrix const&, MES::Matrix const&)
  0.39     40.15     0.16 193983140     0.00     0.00  MES::Matrix::numCols() const
  0.32     40.28     0.13   288040     0.00     0.00  MES::operator+(MES::Matrix const&, MES::Matrix const&)
  0.20     40.36     0.08  6090207     0.00     0.00  MES::Matrix::Matrix(unsigned long, unsigned long, double)
  0.17     40.43     0.07       40     0.00     0.01  MES::Matrix::operator-() const
  0.10     40.47     0.04 26586740     0.00     0.00  MES::Matrix::numRows() const
  0.07     40.50     0.03  9848627     0.00     0.00  MES::Matrix::~Matrix()
  0.07     40.53     0.03  1737600     0.00     0.00  double* std::copy<double const*, double*>(double const*, double const*, double*)
  0.07     40.56     0.03   868800     0.00     0.00  MES::Matrix::operator*=(double)
  0.07     40.59     0.03   360060     0.00     0.00  MES::Matrix::operator=(std::initializer_list<double>)
  0.05     40.61     0.02   864000     0.00     0.00  MES::ShapeFunctions::dEta::N4(double)
  0.05     40.63     0.02   618000     0.00     0.00  MES::Matrix::operator+=(MES::Matrix const&)
  0.05     40.65     0.02   288000     0.00     0.00  MES::IntegrationPoint::get(int, int)
  0.05     40.67     0.02   288000     0.00     0.00  MES::Jakobian::Jakobian(MES::node, MES::element)
  0.05     40.69     0.02    18000     0.00     0.00  MES::element::aggregateToGlobal()
  0.04     40.70     0.02  1454400     0.00     0.00  MES::Matrix::Matrix(unsigned long, unsigned long, std::initializer_list<double>)
  0.02     40.71     0.01  4755600     0.00     0.00  std::array<MES::node*, 4ul>::operator[](unsigned long)
  0.02     40.72     0.01  1728020     0.00     0.00  double* std::copy<double*, double*>(double*, double*, double*)
